"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize","avgt",10,10,0.025744,0.001877,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.alloc.rate","avgt",10,10,2369.711056,153.923538,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.alloc.rate.norm","avgt",10,10,6552.000654,0.000060,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,2378.092844,160.851431,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,6575.184917,123.689633,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.012488,0.002853,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.034627,0.008599,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.count","avgt",10,10,399.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.time","avgt",10,10,629.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize","avgt",10,10,0.008745,0.000845,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.alloc.rate","avgt",10,10,2941.388626,91.841604,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.alloc.rate.norm","avgt",10,10,2764.000223,210.360178,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
