"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.time","avgt",10,10,453.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize","avgt",10,10,0.016994,0.000113,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.alloc.rate","avgt",10,10,7523.922097,51.202175,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.alloc.rate.norm","avgt",10,10,13752.449111,0.003907,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,7626.365097,57.440298,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,13939.742510,72.163975,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.060154,0.009145,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.109915,0.016058,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.count","avgt",10,10,1280.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.HessianSerialize:·gc.time","avgt",10,10,1878.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
